"id","desa_id","nama","alamat","latitude","longitude","deskripsi"
"1","72","RS Umum Daerah Dr. R. Sosodoro Djatikoesoemo","Jl. Veteran No 36, Bojonegoro","-7.159376","111.899655","Rumah Sakit"
"2","206","RS Umum Aisyiyah Bojonegoro","Jl. Hasyim Asyari 17 Bojonegoro","-7.150711","111.878962","Rumah Sakit"
"3","367","RS Umum Muhamadiyah Sumberejo","Jl. Raya Sumberrejo 1193 Bojonegoro","-7.175696","112.004426","Rumah Sakit"
"4","367","RS Umum Daerah Sumberrejo","Jl. Raya No. 231 Sumberrejo, Bojonegoro","-7.178556","111.996332","Rumah Sakit"
"5","169","RS umum Daerah Padangan","Jl. Dr. Soetomo No. 2 Padangan, Bojonegoro","-7.1676","111.609316","Rumah Sakit"
"6","196"," RS Bhayangkara Wahyu Tutuko Bojonegoro","Jl. Panglima Sudirman No 168-169","-7.151753","111.873817","Rumah Sakit"
"7","242","RS Umum Muhammadiyah Kalitidu","Jl.Raya Kalitidu Cepu No. 266","-7.129591","111.763852","Rumah Sakit"
"8","224","RS Umum Ibnu Sina Bojonegoro","Jl. Lisman No.7 Campurejo","-7.152488","111.8993353","Rumah Sakit"
"9","72","RS Muslimat NU Muna Anggita Bojonegoro","Jl. Ahmad Yani No. 10A Bojonegoro","-7.168589","111.892994","Rumah Sakit"
"10","224","RS Ibu dan Anak Fatma","JL Lettu Suyitno No 2 Desa Campurejo","-7.142722","111.900416","Rumah Sakit"
"11","30","Puskesmas MARGOMULYO","Jl. Raya ngawi-padangan no 576 Margomulyo","-7.357533","111.499337","Puskesmas Rawat Inap"
"12","78","Puskesmas NGRAHO","Jl. Ngambon","-7.25592","111.524965","Puskesmas Rawat Inap"
"13","72","Puskesmas TAMBAKREJO","Jl. Tinggang, Glagahan","-7.264706","111.598481","Puskesmas Rawat Inap"
"14","44","Puskesmas NGAMBON","Jl. Raya Ngambon No. 103","-7.294633","111.723649","Puskesmas Non Rawat Inap"
"15","7","Puskesmas SEKAR","Jl. Raya Desa Sekar","-7.407156","111.74019","Puskesmas Rawat Inap"
"16","41","Puskesmas BUBULAN","Jl. Raya Bubulan No. 123, Cancung, Bubulan","-7.327947","111.811751","Puskesmas Non Rawat Inap"
"17","1","Puskesmas GONDANG","Jl. Raya Gondang- Bojonegoro KM 1 Gondang","-7.39837","111.850534","Puskesmas Non Rawat Inap"
