"id","bencana_id","nama_desa","tanggal","latitude","longitude"
"1","2","Sugihwaras","1/1/2019","",""
"2","2","Luwihaji","1/1/2019","",""
"3","2","Jumok","1/1/2019","",""
"4","2","Nganti","1/1/2019","",""
"5","2","Gamongan","1/1/2019","",""
"6","2","Kedungadem","1/1/2019","",""
"7","2","Sidorejo","1/1/2019","",""
"8","2","Kalitengah","1/1/2019","",""
"9","2","Tlatah","1/1/2019","",""
"10","2","Mlinjeng","1/1/2019","",""
"11","2","Tlogohaji","1/1/2019","",""
"12","2","Butoh","1/1/2019","",""
"13","2","Wedoro","1/1/2019","",""
"14","2","Kedungdowo","1/1/2019","",""
"15","2","Panunggalan","1/1/2019","",""
"16","2","Bareng","1/1/2019","",""
"17","2","Bakulan","1/1/2019","",""
"18","2","Sengon","1/1/2019","",""
"19","2","Kasiman","1/1/2019","",""
