"id","bencana_id","nama_desa","tanggal","latitude","longitude"
"1","4","Kedungsumber","1/1/2015","-7.36044","111.8902"
"2","4","Papringan","1/1/2015","-7.36603","111.927208"
"3","4","Klino","1/1/2015","-7.44379","111.79167"
"4","4","Sambongrejo","1/1/2015","-7.41495","111.840898"
"5","4","Pragelan","1/1/2015","",""
"6","4","Brenggolo","1/1/2015","",""
"7","4","Malo","1/1/2015","",""
"8","4","Ngujung","1/1/2015","",""
"9","4","Tinawon","1/1/2015","",""
"10","4","Sumberejo","1/1/2015","",""
"11","4","Tanggir","1/1/2015","",""
"12","4","Mulyoagung","1/1/2015","",""
"13","4","Purwosari","1/1/2015","",""
"14","4","Kaliombo","1/1/2015","",""
"15","4","Tambakmerak","1/1/2015","",""
"16","4","Kepohbaru","1/1/2015","-7.19","112.09"
"17","4","Ngunut","1/1/2015","",""
"18","4","Ngablak","1/1/2015","",""
"19","4","Tengger","1/1/2015","",""
"20","4","Banjarjo","1/1/2015","-7.99","112.7"
"21","4","Kedungrejo","1/1/2015","",""
"22","4","Sranak","1/1/2015","",""
"23","4","Clebung","1/1/2015","",""
"24","4","Banjarjo","1/1/2016","-7.99","112.7"
"25","4","Kuncen","1/1/2016","",""
"26","4","Kemiri","1/1/2016","",""
"27","4","Sumberejo","1/1/2016","",""
"28","4","Sugihwaras","1/1/2016","",""
"29","4","Sekar","1/1/2016","",""
"30","4","Bobol","1/1/2016","",""
"31","4","Miyono","1/1/2016","",""
"32","4","Banjarsari","1/1/2016","",""
"33","4","Padang","1/1/2016","",""
"34","4","Gondang","1/1/2016","",""
"35","4","Papringan","1/1/2016","",""
"36","4","Beji","1/1/2016","",""
"37","4","Kalitudu","1/1/2016","-7.14","111.78"
"38","4","Klangon","1/1/2016","",""
"39","4","Mulyorejo","1/1/2016","",""
"40","4","Kendung","1/1/2016","",""
"41","4","Kaliombo","1/1/2017","",""
"42","4","Purwosari","1/1/2017","",""
"43","4","Wonocolo","1/1/2017","",""
"44","4","Hargomulyo","1/1/2017","",""
"45","4","Kemiri","1/1/2017","",""
"46","4","Kedungrejo","1/1/2017","",""
"47","4","Kalangan","1/1/2017","",""
"48","4","Pragelan","1/1/2017","",""
"49","4","Sambangrejo","1/1/2017","",""
"50","4","Wedoro","1/1/2017","",""
"51","4","Banjarjo","1/1/2017","-7.99","112.7"
"52","4","Tebon","1/1/2017","",""
"53","4","Karangdowo","1/1/2017","",""
"54","4","Semanding","1/1/2017","",""
"55","4","Klangon","1/1/2017","",""
"56","4","Sekar","1/1/2017","",""
"57","4","Bareng","1/1/2017","",""
"58","4","Bobol","1/1/2017","",""
"59","4","Pandantoyo","1/1/2017","",""
"60","4","Babad","1/1/2017","",""
"61","4","Kedungadem","1/1/2017","",""
"62","4","Karangmangu","1/1/2017","",""
"63","4","Sugihwaras","1/1/2017","",""
"64","4","Nganti","1/1/2017","",""
"65","4","Jumok","1/1/2017","",""
"66","4","Luwihaji","1/1/2017","",""
"67","4","Mojodelik","1/1/2017","",""
"68","4","Sumberbendo","1/1/2017","",""
"69","4","Kalisumber","1/1/2017","",""
"70","4","Turi","1/1/2017","",""
"71","4","Napis","1/1/2017","",""
"72","4","Tanjungharjo","1/1/2017","",""
"73","4","Pungpungan","1/1/2017","",""
"74","4","Pacing","1/1/2017","",""
"75","4","Besah","1/1/2017","",""
"76","4","Kalisari","1/1/2017","",""
"77","4","Kepohbaru","1/1/2017","",""
"78","4","Sranak","1/1/2017","",""
"79","4","Ngumpakdalem","1/1/2017","",""
"80","4","Mediyunan","1/1/2017","",""
"81","4","Jelu","1/1/2017","",""
"82","4","Gondang","1/1/2018","",""
"83","4","Kasiman","1/1/2018","",""
"84","4","Balen","1/1/2018","-7.19","111.96"
"85","4","Ngraho","1/1/2018","",""
"86","4","Sugihwaras","1/1/2018","",""
"87","4","Baureno","1/1/2018","-7.12","112.1"
"88","4","Sukosewu","1/1/2018","",""
"89","4","Krajan","1/1/2019","",""
"90","4","Ngalik","1/1/2019","",""
"91","4","Senganteng","1/1/2019","",""
"92","4","Ngambon","1/1/2019","",""
"93","4","Sambongrejo","1/1/2019","",""
"94","4","Klino","1/1/2019","",""
"95","4","Bobol","1/1/2019","",""
"96","4","Kadungrejo","1/1/2019","",""
"97","4","Pilang","1/1/2019","",""
"98","4","Sidodadi","1/1/2019","",""
"99","4","Karangmangu","1/1/2019","",""
