"id","bencana_id","nama","tindakan"
"1","3","Prabencana","Membuat rumah/bangunan yang kokoh."
"2","3","Prabencana","Meningkatkan pengetahuan tentang angin puting beliung dan cara penyelamatan diri."
"3","3","Prabencana","Memperhatikan tanda-tanda terjadinya angin puting beliung, seperti udara terasa panas, kemudian muncul awan gelap yang berlangsung hingga sore hari."
"4","3","Saat Bencana","Bawa masuk barang-barang ke dalam rumah, agar tidak terbawa angin."
"5","3","Saat Bencana","Tutup jendela dan pintu lalu kunci."
"6","3","Saat Bencana","Matikan semua aliran listrik dan peralatan elektronik."
"7","3","Saat Bencana","Jika ada potensi petir akan menyambar, segera membungkuk, duduk dan peluk lutut ke dada."
"8","3","Saat Bencana","Jangan tiarap di atas tanah."
"9","3","Saat Bencana","Hindari bangunan yang tinggi, tiang listrik, papan reklame, dan sebagainya."
"10","3","Saat Bencana","Segera masuk ke dalam rumah atau bangunan yang kokoh."
"11","3","Saat Bencana","Jangan berlindung di bawah pohon besar dan papan reklame."
"12","3","Pascabencana","Pastikan tidak ada anggota keluarga yang cedera."
"13","3","Pascabencana","Bila jatuh korban, segera berikan pertolongan darurat."
"14","3","Pascabencana","Laporkan segera kepada yang berwenang jika ada kerusakan yang berhubungan dengan listrik, gas, dan kerusakan lainnya."
"15","3","Pascabencana","Jika dalam perjalanan, teruskan kembali dengan berhati-hati."
