"id","bencana_id","nama","tindakan"
"1","1","Prabencana","Mengetahui istilah-istilah peringatan yang berhubungan dengan bahaya banjir, seperti Siaga I sampai dengan Siaga IV dan langkah-langkah apa yang harus dilakukan."
"2","1","Prabencana","Mengetahui tingkat kerentanan tempat tinggal kita, apakah berada di zona rawan banjir."
"3","1","Prabencana","Mengetahui cara-cara untuk melindungi rumah kita dari banjir."
"4","1","Prabencana","Mengetahui saluran dan jalur yang sering dilalui air banjir dan apa dampaknya untuk rumah kita."
"5","1","Prabencana","Melakukan persiapan untuk evakuasi, termasuk memahami rute evakuasi dan daerah yang lebih tinggi."
"6","1","Prabencana","Membicarakan dengan anggota keluarga mengenai ancaman banjir dan merencanakan tempat pertemuan apabila anggota keluarga terpencar-pencar."
"7","1","Prabencana","Mengetahui bantuan apa yang bisa diberikan apabila ada anggota keluarga yang terkena banjir."
"8","1","Prabencana","Mengetahui kebutuhan-kebutuhan khusus anggota keluarga dan tetangga apabila banjir terjadi."
"9","1","Prabencana","Membuat persiapan untuk hidup mandiri selama sekurangnya tiga hari, misalnya persiapan tas siaga bencana, penyediaan makanan dan air minum."
"10","1","Prabencana","Mengetahui kebutuhan-kebutuhan khusus anggota keluarga dan tetangga apabila banjir terjadi."
"11","1","Prabencana","Membuat persiapan untuk hidup mandiri selama sekurangnya tiga hari, misalnya persiapan tas siaga bencana, penyediaan makanan dan air minum."
"12","1","Prabencana","Mengetahui bagaimana mematikan air, listrik, dan gas."
"13","1","Prabencana","Mempertimbangkan asuransi banjir."
"14","1","Prabencana","Berkaitan dengan harta dan kepemilikan, maka Anda bisa membuat catatan harta kita, mendokumentasikannya dalam foto, dan simpan dokumen tersebut di tempat yang aman."
"15","1","Prabencana","Menyimpan berbagai dokumen penting di tempat yang aman."
"16","1","Prabencana","Hindari membangun di tempat rawan banjir kecuali ada upaya penguatan dan peninggian bangunan rumah."
"17","1","Prabencana","Perhatikan berbagai instrumen listrik yang dapat memicu bahaya saat bersentuhan dengan air banjir."
"18","1","Prabencana","Turut serta mendirikan tenda pengungsian dan pembuatan dapur umum."
"19","1","Prabencana","Melibatkan diri dalam pendistribusian bantuan."
"20","1","Prabencana","Menggunakan air bersih dengan efisien."
"21","1","Saat Bencana","Apabila banjir akan terjadi di wilayah Anda, maka simaklah informasi dari berbagai media mengenai informasi banjir untuk meningkatkan kesiapsiagaan."
"22","1","Saat Bencana","Apabila terjadi banjir, segeralah evakuasi ke tempat yang lebih tinggi."
"23","1","Saat Bencana","Waspada terhadap arus bawah, saluran air, kubangan, dan tempat lain yang tergenang air."
"24","1","Saat Bencana","Ketahui risiko banjir dan banjir bandang di tempat Anda, misalnya banjir bandang dapat terjadi di tempat Anda dengan atau tanpa peringatan pada saat hujan biasa atau deras"
"25","1","Saat Bencana","Apabila Anda harus bersiap untuk evakuasi: amankanrumah Anda. Apabila masih tersedia waktu, tempatkan perabot di luar rumah atau di tempat yang aman dari banjir. Barang yang lebih berharga diletakan padabagian yang lebih tinggi di dalam rumah."
"26","1","Saat Bencana","Matikan semua jaringan listrik apabila ada instruksi dari pihak berwenang. Cabut alat-alat yang masih tersambung dengan listrik. Jangan menyentuh peralatan yang bermuatan listrik apabila Anda berdiri di atas/dalam air."
"27","1","Saat Bencana","Jika ada perintah evakuasi dan Anda harus meninggalkan rumah, jangan berjalan di arus air. Beberapa langkah berjalan di arus air dapat mengakibatkan Anda jatuh."
"28","1","Saat Bencana","Apabila Anda harus berjalan di air, berjalanlah pada pijakan yang tidak bergerak. Gunakan tongkat atau sejenisnya untuk mengecek kepadatan tempat Anda berpijak."
"29","1","Saat Bencana","Jangan mengemudikan mobil di wilayah banjir. Apabila air mulai naik, abaikan mobil dan keluarlah ke tempat yang lebih tinggi. Apabila hal ini tidak dilakukan, Anda dan mobil dapat tersapu arus banjir dengan cepat."
"30","1","Saat Bencana","Bersihkan dan siapkan penampungan air untuk berjaga-jaga seandainya kehabisan air bersih."
"31","1","Saat Bencana","Waspada saluran air atau tempat melintasnya air yang kemungkinan akan dilalui oleh arus yang deras karena kerap kali banjir bandang tiba tanpa peringatan."
"32","1","Pascabencana","Hindari air banjir karena kemungkinan kontaminasi zat-zat berbahaya dan ancaman kesetrum."
"33","1","Pascabencana","Waspada dengan instalasi listrik."
"34","1","Pascabencana","Hindari air yang bergerak."
"35","1","Pascabencana","Hindari area yang airnya baru saja surut karena jalan bisasaja keropos dan ambles."
"36","1","Pascabencana","Hindari lokasi yang masih terkena bencana, kecuali jika pihak yang berwenang membutuhkan sukarelawan."
"37","1","Pascabencana","Kembali ke rumah sesuai dengan perintah dari pihak yang berwenang."
"38","1","Pascabencana","Tetap di luar gedung/rumah yang masih dikelilingi air."
"39","1","Pascabencana","Hati-hati saat memasuki gedung karena ancaman kerusakan yang tidak terlihat seperti pada fondasi."
"40","1","Pascabencana","Perhatikan kesehatan dan keselamatan keluarga dengan mencuci tangan menggunakan sabun dan air bersih jikaAnda terkena air banjir."
"41","1","Pascabencana","Buang makanan yang terkontaminasi air banjir."
"42","1","Pascabencana","Dengarkan berita atau informasi mengenai kondisi air, serta di mana mendapatkan bantuan perumahan/shelter, pakaian, dan makanan."
"43","1","Pascabencana","Dapatkan perawatan kesehatan di fasilitas kesehatan terdekat."
"44","1","Pascabencana","Bersihkan tempat tinggal dam lingkungan rumah dari sisa-sisa kotoran setelah banjir."
"45","1","Pascabencana","Terlibat dalam kaporitisasi sumur gali."
"46","1","Pascabencana","Terlibat dalam perbaikan jamban dan saluran pembuangan air limbah (SPAL)."
