"id","bencana_id","nama","tindakan"
"1","2","Prabencana","Menjaga sumber/mata air."
"2","2","Prabencana","Menggunakan air dengan bijak."
"3","2","Prabencana","Secara kolektif membuat waduk atau embung untuk menampung air hujan dan dipergunakan saat musim kemarau."
"4","2","Prabencana","Dalam konteks pertanian, memanfaatkan mulsa."
"5","2","Prabencana","Memenuhi kebutuhan keluarga, membuat tandon air di sekitar pekarangan rumah untuk menampung air hujan."
"6","2","Saat Bencana","Melapor dan meminta bantuan air bersih pada pihak yang berwenang."
"7","2","Saat Bencana","Mengatur jadwal penggunaan air yang masih ada."
"8","2","Saat Bencana","Pelaksanaan hujan buatan/TMC."
"9","2","Saat Bencana","Simak informasi terkini dari radio, televisi, media online dan sumber informasi resmi pemerintah."
"10","2","Pascabencana","Membuat sumur resapan/biopori."
"11","2","Pascabencana","Membuat waduk/bendungan untuk menampung air hujan."
