"id","bencana_id","name","tindakan"
"1","4","Prabencana","Mengurangi tingkat keterjalan lereng permukaan maupun air tanah."
"2","4","Prabencana","Pembuatan bangunan penahan, jangkar (anchor) dan pilling."
"3","4","Prabencana","Hindarkan daerah rawan bencana untuk pembangunan pemukiman dan fasilitas utama lainnya."
"4","4","Prabencana","Terasiring dengan sistem drainase yang tepat."
"5","4","Prabencana","Penghijauan dengan tanaman yang sistem perakarannya dalam dan jarak tanam yang tepat"
"6","4","Prabencana","Mendirikan bangunan dengan fondasi yang kuat."
"7","4","Prabencana","Melakukan pemadatan tanah di sekitar perumahan. Pengenalan daerah rawan longsor."
"8","4","Prabencana","Pembuatan tanggul penahan untuk runtuhan batuan (rock fall)."
"9","4","Prabencana","Penutupan rekahan di atas lereng untuk mencegah air masuk secara cepat ke dalam tanah."
"10","4","Prabencana","Pondasi tiang pancang sangat disarankan untuk menghindari bahaya liquefaction (infeksi cairan)."
"11","4","Prabencana","Utilitas yang ada di dalam tanah harus bersifat fleksibel."
"12","4","Prabencana","Dalam beberapa kasus relokasi sangat disarankan. Menanami kawasan yang gersang dengan tanaman yang memiliki akar kuat, banyak dan dalam seperti nangka, durian, pete, kaliandra dan sebagainya."
"13","4","Prabencana","Tidak mendirikan bangunan permanen di daerah tebing dan tanah yang tidak stabil (tanah gerak)."
"14","4","Prabencana","Membuat selokan yang kuat untuk mengalirkan air hujan."
"15","4","Prabencana","Waspada ketika curah hujan tinggi."
"16","4","Prabencana","Jangan menggunduli hutan dan menebang pohon sembarangan."
"17","4","Saat Bencana","Segera evakuasi untuk menjauhi suara gemuruh atau arah datangnya longsoran."
"18","4","Saat Bencana","Apabila mendengar suara sirine peringatan longsor, segera evakuasi ke arah zona evakuasi yang telah ditentukan."
"19","4","Pascabencana","Hindari wilayah longsor karena kondisi tanah yang labil."
"20","4","Pascabencana","Apabila hujan turun setelah longsor terjadi, antisipasi longsor susulan."
